rectangle_coordinates,buildings_num,district_num
"[[34.88579196310419, -16.286578391970405], [34.89516137022921, -16.286578391970405], [34.89516137022921, -16.295571608029594], [34.88579196310419, -16.295571608029594]]",182,chikwawa_9
"[[34.80503352526423, -16.498621725303707], [34.814413141402376, -16.498621725303707], [34.814413141402376, -16.507614941362895], [34.80503352526423, -16.507614941362895]]",187,chikwawa_10
"[[34.85289258429952, -16.260558391970406], [34.86226074903389, -16.260558391970406], [34.86226074903389, -16.269551608029595], [34.85289258429952, -16.269551608029595]]",1309,chikwawa_11
"[[34.86733587072059, -16.262525058637106], [34.87670412927941, -16.262525058637106], [34.87670412927941, -16.271518274696295], [34.86733587072059, -16.271518274696295]]",2259,chikwawa_12
"[[35.307176466762726, -15.954770058637106], [35.31653019990388, -15.954770058637106], [35.31653019990388, -15.963763274696294], [35.307176466762726, -15.963763274696294]]",167,chiradzulu_1
"[[35.26846324369165, -15.878441725303706], [35.27781342297495, -15.878441725303706], [35.27781342297495, -15.887434941362894], [35.26846324369165, -15.887434941362894]]",201,chiradzulu_2
"[[35.1923073767619, -15.626375058637105], [35.2016459565715, -15.626375058637105], [35.2016459565715, -15.635368274696294], [35.1923073767619, -15.635368274696294]]",270,chiradzulu_3
"[[35.26668822749058, -15.734831725303705], [35.27603177250942, -15.734831725303705], [35.27603177250942, -15.743824941362893], [35.26668822749058, -15.743824941362893]]",311,chiradzulu_4
"[[33.32463542577576, -9.652386725303735], [33.33375790755763, -9.652386725303735], [33.33375790755763, -9.661379941362924], [33.32463542577576, -9.661379941362924]]",81,chitipa_1
"[[33.23200745014022, -9.501713391970405], [33.24112588319317, -9.501713391970405], [33.24112588319317, -9.510706608029594], [33.23200745014022, -9.510706608029594]]",176,chitipa_2
"[[33.36597196739436, -9.661613391970405], [33.37509469927224, -9.661613391970405], [33.37509469927224, -9.670606608029594], [33.36597196739436, -9.670606608029594]]",234,chitipa_3
"[[33.23295485236726, -9.694620058637076], [33.24207848096614, -9.694620058637076], [33.24207848096614, -9.703613274696265], [33.23295485236726, -9.703613274696265]]",106,chitipa_4
"[[34.51245151361897, -14.121533391970406], [34.521725153047626, -14.121533391970406], [34.521725153047626, -14.130526608029594], [34.51245151361897, -14.130526608029594]]",200,dedza_1
"[[34.303217593684856, -14.392950058637105], [34.31250240631514, -14.392950058637105], [34.31250240631514, -14.401943274696293], [34.303217593684856, -14.401943274696293]]",685,dedza_2
"[[34.0677683842029, -14.193153391970405], [34.0770449491305, -14.193153391970405], [34.0770449491305, -14.202146608029594], [34.0677683842029, -14.202146608029594]]",350,dedza_3
"[[34.18645415900148, -14.317475058637106], [34.195735840998516, -14.317475058637106], [34.195735840998516, -14.326468274696294], [34.18645415900148, -14.326468274696294]]",199,dedza_4
"[[34.02906602067084, -14.388446725303705], [34.03835064599576, -14.388446725303705], [34.03835064599576, -14.397439941362894], [34.02906602067084, -14.397439941362894]]",288,dedza_5
"[[34.15634568868632, -14.161973391970406], [34.165620977980275, -14.161973391970406], [34.165620977980275, -14.170966608029595], [34.15634568868632, -14.170966608029595]]",416,dedza_6
"[[34.1579876246834, -14.311073391970405], [34.167269041983204, -14.311073391970405], [34.167269041983204, -14.320066608029594], [34.1579876246834, -14.320066608029594]]",378,dedza_7
"[[33.948451117258244, -14.303366725303706], [33.95773221607516, -14.303366725303706], [33.95773221607516, -14.312359941362894], [33.948451117258244, -14.312359941362894]]",571,dedza_8
"[[34.32374577681568, -14.239003391970405], [34.33302422318432, -14.239003391970405], [34.33302422318432, -14.247996608029593], [34.32374577681568, -14.247996608029593]]",888,dedza_9
"[[34.169847616106225, -14.067286725303706], [34.179119050560374, -14.067286725303706], [34.179119050560374, -14.076279941362895], [34.169847616106225, -14.076279941362895]]",103,dedza_10
"[[33.86250650394533, -14.365183391970406], [33.87179016272126, -14.365183391970406], [33.87179016272126, -14.374176608029595], [33.86250650394533, -14.374176608029595]]",635,dedza_11
"[[34.1744319682827, -14.099190058637106], [34.1837046983839, -14.099190058637106], [34.1837046983839, -14.108183274696295], [34.1744319682827, -14.108183274696295]]",266,dedza_12
"[[34.57237828987729, -14.278850058637106], [34.581658376789306, -14.278850058637106], [34.581658376789306, -14.287843274696295], [34.57237828987729, -14.287843274696295]]",737,dedza_13
"[[34.38839177682792, -14.108603391970405], [34.39766488983867, -14.108603391970405], [34.39766488983867, -14.117596608029594], [34.38839177682792, -14.117596608029594]]",529,dedza_14
"[[33.69041766053238, -14.469638391970406], [33.699705672801024, -14.469638391970406], [33.699705672801024, -14.478631608029595], [33.69041766053238, -14.478631608029595]]",262,dedza_15
"[[33.67273634254617, -13.371578391970406], [33.68198032412043, -13.371578391970406], [33.68198032412043, -13.380571608029594], [33.67273634254617, -13.380571608029594]]",361,dowa_1
"[[33.84415877709302, -13.759800058637106], [33.853417889573585, -13.759800058637106], [33.853417889573585, -13.768793274696295], [33.84415877709302, -13.768793274696295]]",443,dowa_2
"[[33.76297909601635, -13.488136725303706], [33.772227570650244, -13.488136725303706], [33.772227570650244, -13.497129941362894], [33.76297909601635, -13.497129941362894]]",540,dowa_3
"[[33.68474453047741, -13.636931725303706], [33.693998802855994, -13.636931725303706], [33.693998802855994, -13.645924941362894], [33.68474453047741, -13.645924941362894]]",317,dowa_4
