respondent_number,region,district,urbrur,latitude,longitude,dateintr,age,electricity_grid_in_the_psu_ea,road_surface_last_5_km,road_condition_last_5_km,overall_direction_of_the_country,country_s_present_economic_condition,country_s_economic_condition_compared_to_12_months_ago,country_s_economic_condition_in_12_months_time,how_often_gone_without_food,how_often_gone_without_water,support_for_democracy,satisfaction_with_democracy,level_of_corruption,handling_managing_the_economy,climate_change_affecting_country,gender_of_respondent,lived_poverty_index_average_index_of_5_poverty_items,country,round,rectangle_coordinates,geometry,buildings_num
MLW0012,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-26,28,1,5,6,2,1,3,3,0,0,3,4,1,3,5,2,0.4,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0013,462,Zomba,2,-15.4808766666667,35.4908816666667,2016-12-26,59,0,5,2,2,2,4,4,0,0,3,3,1,2,4,1,1.0,MLW,7,"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]","POLYGON ((35.486215778315156 -15.476380058637107, 35.49554755501825 -15.476380058637107, 35.49554755501825 -15.485373274696295, 35.486215778315156 -15.485373274696295, 35.486215778315156 -15.476380058637107))",151
MLW0014,462,Thyolo,2,-16.04356,35.230525,2016-12-27,36,1,5,6,1,1,2,2,2,0,2,1,1,1,5,2,2.2,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0015,462,Thyolo,2,-16.04356,35.230525,2016-12-27,52,1,5,6,1,1,1,1,3,0,2,3,1,1,9,1,2.4,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0016,461,Lilongwe City,1,-13.9613633333333,33.7696483333333,2016-12-27,30,1,5,6,1,5,5,5,0,0,3,1,1,1,2,2,0.0,MLW,7,"[[33.765014845792, -13.956866725303705], [33.7742818208746, -13.956866725303705], [33.7742818208746, -13.965859941362893], [33.765014845792, -13.965859941362893]]","POLYGON ((33.765014845792 -13.956866725303705, 33.7742818208746 -13.956866725303705, 33.7742818208746 -13.965859941362893, 33.765014845792 -13.965859941362893, 33.765014845792 -13.956866725303705))",974
MLW0017,462,Thyolo,2,-16.04356,35.230525,2016-12-27,25,1,5,6,1,2,1,1,1,0,3,2,1,2,5,2,0.4,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0018,461,Lilongwe City,1,-13.9613633333333,33.7696483333333,2016-12-27,20,1,5,6,2,2,1,2,1,0,1,3,2,1,1,2,1.0,MLW,7,"[[33.765014845792, -13.956866725303705], [33.7742818208746, -13.956866725303705], [33.7742818208746, -13.965859941362893], [33.765014845792, -13.965859941362893]]","POLYGON ((33.765014845792 -13.956866725303705, 33.7742818208746 -13.956866725303705, 33.7742818208746 -13.965859941362893, 33.765014845792 -13.965859941362893, 33.765014845792 -13.956866725303705))",974
MLW0019,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,19,0,1,2,1,1,1,3,1,0,3,4,4,2,5,2,0.6,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0020,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,24,0,1,2,1,1,1,4,4,0,3,4,1,1,5,2,1.8,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0021,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,23,0,1,2,1,5,2,1,0,0,2,2,3,2,5,2,1.2,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0022,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,42,0,1,2,2,9,9,4,0,1,3,9,9,9,7,1,1.4,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0023,462,Zomba City,1,-15.411885,35.3130333333333,2016-12-27,48,1,1,5,1,1,3,2,1,0,1,9,3,2,5,2,0.6,MLW,7,"[[35.308368997167754, -15.407388391970406], [35.31769766949885, -15.407388391970406], [35.31769766949885, -15.416381608029594], [35.308368997167754, -15.416381608029594]]","POLYGON ((35.308368997167754 -15.407388391970406, 35.31769766949885 -15.407388391970406, 35.31769766949885 -15.416381608029594, 35.308368997167754 -15.416381608029594, 35.308368997167754 -15.407388391970406))",2024
MLW0024,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-27,61,1,5,6,1,1,1,1,0,0,1,2,2,1,5,2,0.4,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0025,462,Thyolo,2,-16.04356,35.230525,2016-12-27,23,1,5,6,1,1,2,3,2,0,3,2,2,1,4,2,1.0,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0026,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-27,60,1,5,6,1,2,2,2,0,0,2,1,1,2,5,1,0.4,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
